protein,cancer_outcome,method,n_instruments,beta,se,pvalue,OR,OR_95CI_lower,OR_95CI_upper,FDR,F_stat,is_primary_estimate
RNASE10,Endometrial_GCST006464,Inverse variance weighted,3,-0.0117,0.023,0.61,0.9883,0.9447,1.0339,0.9525607476635515,179.9,True
COCH,Endometrial_GCST006464,Wald ratio,1,-0.0193,0.0399,0.628,0.9808,0.907,1.0607,0.9525607476635515,49.5,True
SERPINA9,Endometrial_GCST006464,MR Egger,3,-0.2002,0.2988,0.624,0.8186,0.4557,1.4702,,42.3,False
SERPINA4,Endometrial_GCST006464,Inverse variance weighted,2,-0.0248,0.0527,0.638,0.9755,0.8798,1.0817,0.9525607476635515,50.3,True
TYRO3,Endometrial_GCST006464,Inverse variance weighted,2,0.0093,0.0207,0.654,1.0093,0.9692,1.0512,0.9525607476635515,105.5,True
SCG3,Endometrial_GCST006464,Wald ratio,1,-0.0119,0.0253,0.638,0.9882,0.9404,1.0384,0.9525607476635515,94.1,True
CD276,Endometrial_GCST006464,Wald ratio,1,-0.0091,0.0209,0.663,0.991,0.9513,1.0323,0.9525607476635515,360.9,True
CTRB1,Endometrial_GCST006464,Wald ratio,1,0.0084,0.0163,0.608,1.0084,0.9766,1.0412,0.9525607476635515,33.1,True
CCL16,Endometrial_GCST006464,Wald ratio,1,-0.0099,0.0226,0.661,0.9901,0.9472,1.035,0.9525607476635515,154.7,True
FAM20A,Endometrial_GCST006464,Inverse variance weighted,2,-0.0177,0.0384,0.645,0.9825,0.9112,1.0594,0.9525607476635515,38.5,True
CD7,Endometrial_GCST006464,Wald ratio,1,0.018,0.0386,0.641,1.0182,0.9439,1.0982,0.9525607476635515,57.8,True
DCC,Endometrial_GCST006464,Wald ratio,1,-0.0145,0.0319,0.649,0.9856,0.9259,1.0492,0.9525607476635515,77.9,True
ICAM5,Endometrial_GCST006464,Wald ratio,1,-0.0091,0.0216,0.672,0.9909,0.9499,1.0337,0.9551111111111111,254.7,True
CEACAM16,Endometrial_GCST006464,Weighted median,3,-0.0174,0.0368,0.636,0.9827,0.9144,1.0562,,35.8,False
KLK15,Endometrial_GCST006464,Inverse variance weighted,4,-0.0058,0.0136,0.668,0.9942,0.9681,1.021,0.9538418604651164,130.4,True
KLK10,Endometrial_GCST006464,Inverse variance weighted,2,0.0082,0.0171,0.631,1.0083,0.9749,1.0427,0.9525607476635515,160.6,True
CD33,Endometrial_GCST006464,Weighted median,3,-0.0065,0.0126,0.603,0.9935,0.9692,1.0183,,386.5,False
SIGLEC8,Endometrial_GCST006464,Inverse variance weighted,2,0.0208,0.04,0.602,1.0211,0.9441,1.1042,0.9525607476635515,119.8,True
OSCAR,Endometrial_GCST006464,Wald ratio,1,-0.0184,0.0335,0.583,0.9818,0.9194,1.0484,0.9469894179894179,84.9,True
LAIR2,Endometrial_GCST006464,Inverse variance weighted,3,0.0097,0.0197,0.623,1.0097,0.9715,1.0494,0.9525607476635515,85.6,True
LILRB4,Endometrial_GCST006464,Wald ratio,1,0.028,0.059,0.636,1.0284,0.916,1.1545,0.9525607476635515,35.0,True
SSC5D,Endometrial_GCST006464,Wald ratio,1,-0.0145,0.0294,0.622,0.9856,0.9304,1.0441,0.9525607476635515,108.9,True
RETN,Endometrial_GCST006464,Wald ratio,1,-0.0264,0.049,0.59,0.974,0.8848,1.0721,0.9525607476635515,34.2,True
CTSS,Endometrial_GCST006464,Inverse variance weighted,2,-0.0132,0.0286,0.644,0.9869,0.9332,1.0437,0.9525607476635515,35.7,True
FCRL3,Endometrial_GCST006464,Wald ratio,1,-0.008,0.0163,0.625,0.9921,0.9609,1.0243,0.9525607476635515,452.8,True
FCRL2,Endometrial_GCST006464,Inverse variance weighted,2,-0.0103,0.0227,0.651,0.9898,0.9468,1.0348,0.9525607476635515,77.2,True
LY9,Endometrial_GCST006464,Inverse variance weighted,2,-0.0146,0.0289,0.613,0.9855,0.9312,1.0429,0.9525607476635515,58.8,True
FCGR2A,Endometrial_GCST006464,Inverse variance weighted,2,-0.0122,0.0278,0.659,0.9878,0.9355,1.0431,0.9525607476635515,279.3,True
CD164L2,Endometrial_GCST006464,Wald ratio,1,-0.0149,0.029,0.607,0.9852,0.9307,1.0428,0.9525607476635515,135.6,True
TACSTD2,Endometrial_GCST006464,Wald ratio,1,-0.0093,0.0222,0.677,0.9908,0.9486,1.0348,0.957783410138249,164.8,True
IL10RB,Endometrial_GCST006464,Wald ratio,1,-0.0119,0.029,0.68,0.9881,0.9336,1.0459,0.9590229357798166,111.8,True
GSTT2B,Endometrial_GCST006464,MR Egger,3,0.0376,0.0682,0.679,1.0383,0.9083,1.1869,,336.6,False
GGT1,Endometrial_GCST006464,Wald ratio,1,0.0244,0.0466,0.6,1.0247,0.9353,1.1227,0.9525607476635515,34.8,True
CSF2RB,Endometrial_GCST006464,Wald ratio,1,0.0058,0.014,0.681,1.0058,0.9786,1.0337,0.9590229357798166,1152.6,True
GALNT5,Endometrial_GCST006464,Weighted median,3,0.0186,0.0338,0.582,1.0188,0.9534,1.0887,,37.3,False
HS1BP3,Endometrial_GCST006464,Wald ratio,1,-0.0225,0.0476,0.637,0.9778,0.8906,1.0735,0.9525607476635515,40.0,True
ADAM23,Endometrial_GCST006464,MR Egger,3,-0.0536,0.0956,0.675,0.9478,0.7859,1.143,,40.1,False
SERPINE2,Endometrial_GCST006464,Wald ratio,1,-0.0188,0.0413,0.649,0.9814,0.905,1.0642,0.9525607476635515,57.4,True
GPC1,Endometrial_GCST006464,Wald ratio,1,-0.024,0.0466,0.607,0.9763,0.891,1.0697,0.9525607476635515,33.0,True
PLB1,Endometrial_GCST006464,Wald ratio,1,0.0087,0.0194,0.655,1.0087,0.9711,1.0477,0.9525607476635515,349.7,True
PDE5A,Endometrial_GCST006464,Wald ratio,1,-0.0216,0.0459,0.639,0.9787,0.8944,1.0709,0.9525607476635515,37.4,True
GNPDA2,Endometrial_GCST006464,Wald ratio,1,0.0144,0.0282,0.609,1.0145,0.96,1.0722,0.9525607476635515,108.2,True
PSAPL1,Endometrial_GCST006464,Weighted median,3,-0.0083,0.0198,0.676,0.9917,0.954,1.031,,113.1,False
PDCD6,Endometrial_GCST006464,Wald ratio,1,-0.0088,0.016,0.583,0.9913,0.9608,1.0228,0.9469894179894179,437.5,True
OSMR,Endometrial_GCST006464,Wald ratio,1,0.0135,0.0294,0.646,1.0136,0.9568,1.0738,0.9525607476635515,80.2,True
C9,Endometrial_GCST006464,Wald ratio,1,-0.0234,0.0499,0.639,0.9769,0.8858,1.0773,0.9525607476635515,31.7,True
IL31RA,Endometrial_GCST006464,MR Egger,3,0.0279,0.042,0.627,1.0283,0.947,1.1166,,91.8,False
GLRX,Endometrial_GCST006464,Wald ratio,1,0.0145,0.0301,0.631,1.0146,0.9565,1.0762,0.9525607476635515,100.5,True
VNN2,Endometrial_GCST006464,Inverse variance weighted,3,-0.008,0.0174,0.647,0.9921,0.9589,1.0264,0.9525607476635515,125.9,True
ULBP2,Endometrial_GCST006464,Weighted median,3,-0.01,0.0227,0.659,0.99,0.947,1.035,,87.3,False
LPA,Endometrial_GCST006464,Weighted median,4,-0.0112,0.0245,0.647,0.9889,0.9426,1.0374,,50.4,False
CRISP3,Endometrial_GCST006464,Wald ratio,1,0.0107,0.0235,0.65,1.0107,0.9652,1.0584,0.9525607476635515,167.1,True
CRISP2,Endometrial_GCST006464,MR Egger,3,0.0341,0.0594,0.668,1.0347,0.9209,1.1625,,104.5,False
GFRAL,Endometrial_GCST006464,Inverse variance weighted,2,-0.0163,0.0355,0.645,0.9838,0.9177,1.0547,0.9525607476635515,34.3,True
CPA4,Endometrial_GCST006464,Wald ratio,1,0.015,0.0315,0.634,1.0151,0.9543,1.0798,0.9525607476635515,87.8,True
PSCA,Endometrial_GCST006464,Wald ratio,1,-0.0069,0.0132,0.599,0.9931,0.9677,1.0191,0.9525607476635515,1273.9,True
FGL1,Endometrial_GCST006464,Inverse variance weighted,2,-0.0162,0.034,0.633,0.9839,0.9204,1.0518,0.9525607476635515,134.4,True
TNFRSF10C,Endometrial_GCST006464,Wald ratio,1,-0.0224,0.0522,0.668,0.9779,0.8828,1.0832,0.9538418604651164,31.3,True
PTGR1,Endometrial_GCST006464,Wald ratio,1,-0.0238,0.0455,0.601,0.9765,0.8933,1.0675,0.9525607476635515,35.2,True
OBP2B,Endometrial_GCST006464,Wald ratio,1,-0.0117,0.0233,0.615,0.9884,0.9443,1.0345,0.9525607476635515,251.6,True
DBH,Endometrial_GCST006464,MR Egger,3,0.0248,0.0416,0.658,1.0251,0.9448,1.1122,,206.9,False
ENTPD2,Endometrial_GCST006464,Inverse variance weighted,2,-0.0166,0.0331,0.615,0.9835,0.9218,1.0494,0.9525607476635515,38.0,True
CD274,Endometrial_GCST006464,Wald ratio,1,-0.014,0.0336,0.677,0.9861,0.9233,1.0532,0.957783410138249,69.3,True
DKKL1,Endometrial_GCST006464,Wald ratio,1,0.0055,0.0136,0.683,1.0056,0.9792,1.0327,0.9596384439359268,470.7,True
RNASE4,Endometrial_GCST006464,Wald ratio,1,-0.0148,0.0364,0.686,0.9854,0.9174,1.0583,0.9616529680365297,64.4,True
CLUL1,Endometrial_GCST006464,Inverse variance weighted,3,0.0081,0.0203,0.69,1.0081,0.9689,1.049,0.9621160714285714,86.7,True
GC,Endometrial_GCST006464,Inverse variance weighted,2,-0.0039,0.0098,0.689,0.9961,0.9771,1.0154,0.9621160714285714,747.5,True
FGFBP3,Endometrial_GCST006464,Wald ratio,1,0.0143,0.0364,0.695,1.0144,0.9446,1.0893,0.9621160714285714,61.1,True
PLA2G15,Endometrial_GCST006464,Wald ratio,1,0.0284,0.0742,0.702,1.0288,0.8896,1.1898,0.9621160714285714,53.5,True
CD101,Endometrial_GCST006464,Inverse variance weighted,3,0.0135,0.0353,0.701,1.0136,0.9459,1.0863,0.9621160714285714,98.8,True
EFNA1,Endometrial_GCST006464,Wald ratio,1,-0.0171,0.0432,0.692,0.983,0.9033,1.0699,0.9621160714285714,41.5,True
FCRL1,Endometrial_GCST006464,Wald ratio,1,-0.0145,0.0376,0.7,0.9856,0.9156,1.061,0.9621160714285714,54.4,True
NPTXR,Endometrial_GCST006464,Wald ratio,1,0.0121,0.0307,0.693,1.0122,0.9531,1.0749,0.9621160714285714,174.0,True
REG1B,Endometrial_GCST006464,Inverse variance weighted,2,-0.0139,0.036,0.701,0.9862,0.919,1.0584,0.9621160714285714,37.6,True
NAAA,Endometrial_GCST006464,Wald ratio,1,-0.0112,0.0291,0.699,0.9888,0.9341,1.0468,0.9621160714285714,109.9,True
GSTT2B,Endometrial_GCST006464,Weighted median,3,-0.0044,0.0118,0.71,0.9956,0.9728,1.019,,336.6,False
SERPINI1,Endometrial_GCST006464,Inverse variance weighted,2,0.0114,0.0305,0.709,1.0114,0.9528,1.0737,0.9695456570155901,57.3,True
SERPINA3,Endometrial_GCST006464,Wald ratio,1,0.0134,0.0364,0.713,1.0134,0.9437,1.0883,0.9706917960088691,46.5,True
FCRLB,Endometrial_GCST006464,Inverse variance weighted,2,-0.0091,0.0246,0.713,0.991,0.9444,1.0399,0.9706917960088691,85.2,True
CASP7,Endometrial_GCST006464,Wald ratio,1,0.0059,0.0384,0.877,1.006,0.9331,1.0845,0.9906133768352365,50.0,True
GFRA1,Endometrial_GCST006464,Wald ratio,1,0.014,0.0419,0.738,1.0141,0.9342,1.1008,0.9784065040650407,61.7,True
CPXM2,Endometrial_GCST006464,Wald ratio,1,0.005,0.0338,0.882,1.005,0.9405,1.074,0.9906133768352365,105.6,True
MGMT,Endometrial_GCST006464,Inverse variance weighted,2,0.003,0.027,0.912,1.003,0.9514,1.0574,0.9906133768352365,70.4,True
ADAM8,Endometrial_GCST006464,Wald ratio,1,0.0007,0.0341,0.983,1.0007,0.9361,1.0698,0.9906133768352365,74.2,True
NRP1,Endometrial_GCST006464,Wald ratio,1,0.0119,0.0351,0.734,1.012,0.9447,1.0841,0.9784065040650407,62.0,True
MSMB,Endometrial_GCST006464,Inverse variance weighted,2,-0.0034,0.0118,0.774,0.9966,0.9738,1.02,0.9784065040650407,398.7,True
ASAH2,Endometrial_GCST006464,Wald ratio,1,-0.004,0.0283,0.888,0.996,0.9423,1.0528,0.9906133768352365,98.5,True
IL2RA,Endometrial_GCST006464,Inverse variance weighted,2,0.0013,0.0313,0.966,1.0013,0.9418,1.0646,0.9906133768352365,71.7,True
MMP8,Endometrial_GCST006464,Wald ratio,1,-0.0105,0.0417,0.802,0.9896,0.9119,1.0739,0.9794761904761905,43.3,True
NCAM1,Endometrial_GCST006464,Inverse variance weighted,3,-0.0027,0.0268,0.919,0.9973,0.9462,1.0511,0.9906133768352365,37.7,True
TMEM25,Endometrial_GCST006464,Wald ratio,1,-0.0101,0.0355,0.776,0.99,0.9234,1.0613,0.9784065040650407,35.1,True
CRTAM,Endometrial_GCST006464,Wald ratio,1,0.0134,0.0477,0.778,1.0135,0.923,1.1129,0.9784065040650407,42.8,True
NUCB2,Endometrial_GCST006464,Wald ratio,1,0.0025,0.0226,0.911,1.0025,0.9592,1.0479,0.9906133768352365,188.9,True
SAA4,Endometrial_GCST006464,Wald ratio,1,0.0097,0.0383,0.8,1.0097,0.9367,1.0885,0.9794761904761905,60.0,True
NELL1,Endometrial_GCST006464,Inverse variance weighted,2,-0.0038,0.0471,0.936,0.9962,0.9084,1.0925,0.9906133768352365,39.3,True
PAMR1,Endometrial_GCST006464,Inverse variance weighted,2,-0.0022,0.0295,0.94,0.9978,0.9416,1.0572,0.9906133768352365,43.8,True
CDHR5,Endometrial_GCST006464,Inverse variance weighted,3,-0.0059,0.0179,0.741,0.9941,0.9599,1.0295,0.9784065040650407,94.3,True
CDHR5,Endometrial_GCST006464,MR Egger,3,-0.0132,0.0817,0.898,0.9869,0.8408,1.1583,,94.3,False
CDHR5,Endometrial_GCST006464,Weighted median,3,-0.0013,0.0209,0.951,0.9987,0.9587,1.0404,,94.3,False
TCN1,Endometrial_GCST006464,Inverse variance weighted,3,-0.0055,0.0197,0.782,0.9945,0.9568,1.0338,0.9784065040650407,77.2,True
TCN1,Endometrial_GCST006464,MR Egger,3,0.0036,0.086,0.973,1.0036,0.8479,1.188,,77.2,False
TCN1,Endometrial_GCST006464,Weighted median,3,-0.006,0.0212,0.779,0.9941,0.9536,1.0362,,77.2,False
B4GAT1,Endometrial_GCST006464,Wald ratio,1,-0.0167,0.0496,0.736,0.9834,0.8924,1.0838,0.9784065040650407,34.9,True
FOLR3,Endometrial_GCST006464,Inverse variance weighted,2,0.0049,0.015,0.746,1.0049,0.9758,1.0348,0.9784065040650407,404.7,True
CYB5R2,Endometrial_GCST006464,Wald ratio,1,-0.0063,0.0462,0.891,0.9937,0.9076,1.0879,0.9906133768352365,36.0,True
CTSC,Endometrial_GCST006464,Inverse variance weighted,2,0.0011,0.0218,0.961,1.0011,0.9592,1.0447,0.9906133768352365,112.7,True
SWAP70,Endometrial_GCST006464,Wald ratio,1,-0.0138,0.0445,0.756,0.9863,0.904,1.0761,0.9784065040650407,33.5,True
KLRD1,Endometrial_GCST006464,Wald ratio,1,0.0009,0.0346,0.98,1.0009,0.9353,1.0711,0.9906133768352365,73.6,True
VSIG10,Endometrial_GCST006464,Inverse variance weighted,2,0.0033,0.0166,0.843,1.0033,0.9712,1.0365,0.9877900763358778,194.4,True
BCAT1,Endometrial_GCST006464,Wald ratio,1,-0.0113,0.0359,0.753,0.9888,0.9216,1.0609,0.9784065040650407,66.3,True
ACVRL1,Endometrial_GCST006464,Wald ratio,1,-0.0121,0.0382,0.751,0.9879,0.9166,1.0648,0.9784065040650407,64.8,True
TSPAN8,Endometrial_GCST006464,Wald ratio,1,-0.0045,0.0375,0.905,0.9955,0.925,1.0715,0.9906133768352365,50.1,True
F7,Endometrial_GCST006464,Wald ratio,1,-0.0033,0.0308,0.914,0.9967,0.9382,1.0588,0.9906133768352365,72.6,True
ANG,Endometrial_GCST006464,MR Egger,3,-0.0049,0.1039,0.97,0.9951,0.8118,1.2199,,74.5,False
SEL1L,Endometrial_GCST006464,Inverse variance weighted,2,-0.0065,0.0224,0.771,0.9935,0.9509,1.038,0.9784065040650407,96.1,True
ATXN3,Endometrial_GCST006464,Wald ratio,1,0.0039,0.0349,0.911,1.0039,0.9375,1.0751,0.9906133768352365,63.1,True
CTSH,Endometrial_GCST006464,MR Egger,4,0.1193,0.3012,0.73,1.1268,0.6244,2.0333,,287.2,False
IL16,Endometrial_GCST006464,Wald ratio,1,0.0064,0.025,0.797,1.0064,0.9583,1.057,0.9794761904761905,88.9,True
TPSAB1,Endometrial_GCST006464,MR Egger,3,-0.0141,0.1054,0.916,0.986,0.802,1.2122,,87.9,False
PRSS53,Endometrial_GCST006464,MR Egger,4,0.0301,0.0734,0.722,1.0305,0.8924,1.1901,,103.8,False
CES1,Endometrial_GCST006464,Wald ratio,1,-0.0031,0.0374,0.934,0.9969,0.9264,1.0727,0.9906133768352365,79.7,True
IL34,Endometrial_GCST006464,Inverse variance weighted,2,-0.0019,0.0208,0.929,0.9981,0.9582,1.0398,0.9906133768352365,94.8,True
MSLN,Endometrial_GCST006464,Wald ratio,1,0.01,0.0289,0.731,1.01,0.9543,1.0689,0.9784065040650407,104.7,True
CDH15,Endometrial_GCST006464,Wald ratio,1,-0.0025,0.0509,0.962,0.9976,0.9029,1.1022,0.9906133768352365,252.3,True
ALDH3A1,Endometrial_GCST006464,Wald ratio,1,-0.0084,0.0268,0.754,0.9917,0.941,1.0451,0.9784065040650407,115.6,True
BLMH,Endometrial_GCST006464,Wald ratio,1,0.0037,0.0212,0.863,1.0037,0.9628,1.0463,0.9906133768352365,190.1,True
CCL15,Endometrial_GCST006464,Wald ratio,1,0.0026,0.0194,0.892,1.0026,0.9652,1.0416,0.9906133768352365,397.9,True
PYY,Endometrial_GCST006464,Wald ratio,1,-0.0059,0.0467,0.899,0.9941,0.9072,1.0893,0.9906133768352365,31.8,True
LRRC37A2,Endometrial_GCST006464,Inverse variance weighted,3,-0.0029,0.0125,0.815,0.9971,0.973,1.0218,0.9852558139534884,212.1,True
LRRC37A2,Endometrial_GCST006464,Weighted median,3,0.0019,0.013,0.886,1.0019,0.9767,1.0277,,212.1,False
CD300C,Endometrial_GCST006464,Wald ratio,1,0.0024,0.0312,0.937,1.0025,0.943,1.0656,0.9906133768352365,130.7,True
CD300E,Endometrial_GCST006464,Inverse variance weighted,2,-0.0022,0.0238,0.925,0.9978,0.9522,1.0455,0.9906133768352365,72.2,True
SGSH,Endometrial_GCST006464,Wald ratio,1,0.0038,0.019,0.842,1.0038,0.9672,1.0418,0.9877900763358778,303.9,True
CLUL1,Endometrial_GCST006464,MR Egger,3,0.0173,0.103,0.894,1.0174,0.8315,1.2449,,86.7,False
ICAM1,Endometrial_GCST006464,Wald ratio,1,-0.0152,0.0458,0.74,0.9849,0.9003,1.0774,0.9784065040650407,44.6,True
PGLYRP2,Endometrial_GCST006464,Inverse variance weighted,2,-0.0027,0.0122,0.827,0.9973,0.9738,1.0215,0.9852558139534884,497.8,True
BST2,Endometrial_GCST006464,Wald ratio,1,0.021,0.0654,0.749,1.0212,0.8983,1.1608,0.9784065040650407,33.3,True
IL12RB1,Endometrial_GCST006464,Wald ratio,1,-0.0086,0.0728,0.906,0.9914,0.8595,1.1436,0.9906133768352365,37.4,True
IFI30,Endometrial_GCST006464,Inverse variance weighted,2,-0.0058,0.0229,0.799,0.9942,0.9506,1.0398,0.9794761904761905,75.8,True
LRRC25,Endometrial_GCST006464,Wald ratio,1,-0.0009,0.0391,0.982,0.9991,0.9255,1.0786,0.9906133768352365,56.5,True
PEPD,Endometrial_GCST006464,Wald ratio,1,0.0117,0.0385,0.76,1.0118,0.9383,1.0911,0.9784065040650407,47.1,True
SBSN,Endometrial_GCST006464,Wald ratio,1,-0.0057,0.0367,0.876,0.9943,0.9254,1.0684,0.9906133768352365,63.4,True
NPHS1,Endometrial_GCST006464,Wald ratio,1,0.0054,0.0441,0.903,1.0054,0.9222,1.0961,0.9906133768352365,63.4,True
CCER2,Endometrial_GCST006464,Wald ratio,1,-0.0074,0.0632,0.906,0.9926,0.8769,1.1235,0.9906133768352365,34.3,True
CEACAM21,Endometrial_GCST006464,Inverse variance weighted,2,0.0021,0.013,0.869,1.0021,0.9768,1.0281,0.9906133768352365,480.7,True
CEACAM5,Endometrial_GCST006464,Wald ratio,1,-0.001,0.0414,0.98,0.999,0.9211,1.0835,0.9906133768352365,49.5,True
CD177,Endometrial_GCST006464,MR Egger,3,0.0063,0.0681,0.941,1.0063,0.8806,1.1501,,139.9,False
PINLYP,Endometrial_GCST006464,Wald ratio,1,-0.0021,0.0176,0.907,0.9979,0.9641,1.033,0.9906133768352365,352.7,True
CEACAM16,Endometrial_GCST006464,Inverse variance weighted,3,-0.0117,0.0417,0.779,0.9884,0.9108,1.0726,0.9784065040650407,35.8,True
KLK4,Endometrial_GCST006464,Wald ratio,1,-0.0025,0.0381,0.947,0.9975,0.9257,1.0748,0.9906133768352365,42.5,True
KLK7,Endometrial_GCST006464,Inverse variance weighted,2,-0.0087,0.0269,0.745,0.9913,0.9403,1.045,0.9784065040650407,62.7,True
KLK11,Endometrial_GCST006464,Wald ratio,1,-0.0094,0.0524,0.858,0.9907,0.8939,1.0979,0.9906133768352365,39.9,True
KLK12,Endometrial_GCST006464,Wald ratio,1,0.0025,0.0137,0.855,1.0025,0.9759,1.0299,0.9906133768352365,926.3,True
CD33,Endometrial_GCST006464,Inverse variance weighted,3,0.0012,0.0203,0.953,1.0012,0.9621,1.0419,0.9906133768352365,386.5,True
SIGLEC5,Endometrial_GCST006464,Wald ratio,1,0.0008,0.0215,0.97,1.0008,0.9594,1.044,0.9906133768352365,293.1,True
LAIR2,Endometrial_GCST006464,MR Egger,3,-0.0055,0.1,0.965,0.9945,0.8174,1.2098,,85.6,False
LAIR2,Endometrial_GCST006464,Weighted median,3,0.0052,0.0217,0.81,1.0052,0.9633,1.0489,,85.6,False
TNFSF14,Endometrial_GCST006464,Wald ratio,1,0.011,0.0442,0.804,1.0111,0.9271,1.1026,0.9794761904761905,41.5,True
PRTN3,Endometrial_GCST006464,Wald ratio,1,-0.0095,0.0457,0.835,0.9905,0.9056,1.0834,0.9877900763358778,59.1,True
AGRN,Endometrial_GCST006464,Wald ratio,1,-0.0089,0.0561,0.873,0.9911,0.8879,1.1063,0.9906133768352365,37.6,True
CD101,Endometrial_GCST006464,Weighted median,3,0.0039,0.0241,0.87,1.0039,0.9577,1.0525,,98.8,False
HJV,Endometrial_GCST006464,Wald ratio,1,0.0029,0.0636,0.964,1.0029,0.8854,1.1359,0.9906133768352365,31.7,True
CRNN,Endometrial_GCST006464,Wald ratio,1,0.0003,0.025,0.989,1.0003,0.9525,1.0506,0.9906133768352365,131.2,True
ADAM15,Endometrial_GCST006464,Inverse variance weighted,2,0.0009,0.0303,0.976,1.0009,0.9432,1.0622,0.9906133768352365,115.3,True
HDGF,Endometrial_GCST006464,Wald ratio,1,-0.0017,0.0152,0.911,0.9983,0.9691,1.0284,0.9906133768352365,649.3,True
FCRL5,Endometrial_GCST006464,Inverse variance weighted,2,-0.0028,0.0286,0.923,0.9972,0.9428,1.0547,0.9906133768352365,44.3,True
CD48,Endometrial_GCST006464,Wald ratio,1,0.0021,0.0289,0.943,1.0021,0.9468,1.0606,0.9906133768352365,76.7,True
TNN,Endometrial_GCST006464,Inverse variance weighted,2,0.004,0.0175,0.819,1.004,0.9702,1.039,0.9852558139534884,230.9,True
TNR,Endometrial_GCST006464,Wald ratio,1,-0.0092,0.036,0.798,0.9908,0.9232,1.0633,0.9794761904761905,62.0,True
CFHR4,Endometrial_GCST006464,MR Egger,3,-0.0031,0.1085,0.982,0.9969,0.806,1.233,,139.4,False
CFHR2,Endometrial_GCST006464,Inverse variance weighted,2,-0.001,0.0226,0.965,0.999,0.9557,1.0442,0.9906133768352365,197.5,True
CHI3L1,Endometrial_GCST006464,Wald ratio,1,-0.0074,0.0248,0.765,0.9926,0.9455,1.0421,0.9784065040650407,170.9,True
PRELP,Endometrial_GCST006464,Wald ratio,1,-0.0084,0.0378,0.824,0.9916,0.9208,1.0679,0.9852558139534884,31.1,True
NFASC,Endometrial_GCST006464,Wald ratio,1,0.0024,0.0343,0.945,1.0024,0.9373,1.072,0.9906133768352365,56.7,True
PM20D1,Endometrial_GCST006464,Inverse variance weighted,3,0.0007,0.0244,0.978,1.0007,0.9539,1.0497,0.9906133768352365,136.8,True
CR1,Endometrial_GCST006464,Inverse variance weighted,2,-0.0034,0.0204,0.867,0.9966,0.9575,1.0373,0.9906133768352365,120.0,True
LEFTY2,Endometrial_GCST006464,Inverse variance weighted,3,0.0027,0.0128,0.834,1.0027,0.9778,1.0282,0.9877900763358778,167.0,True
LEFTY2,Endometrial_GCST006464,MR Egger,3,-0.0248,0.0987,0.843,0.9755,0.804,1.1836,,167.0,False
LEFTY2,Endometrial_GCST006464,Weighted median,3,0.0003,0.0146,0.985,1.0003,0.9721,1.0293,,167.0,False
GALNT2,Endometrial_GCST006464,Wald ratio,1,0.0076,0.047,0.872,1.0076,0.9189,1.1049,0.9906133768352365,41.4,True
FUCA1,Endometrial_GCST006464,Wald ratio,1,0.0105,0.0433,0.809,1.0105,0.9284,1.1,0.9816719367588934,45.8,True
C8B,Endometrial_GCST006464,Wald ratio,1,0.0108,0.0328,0.743,1.0108,0.9478,1.078,0.9784065040650407,83.9,True
EVI5,Endometrial_GCST006464,Wald ratio,1,0.0041,0.0424,0.922,1.0041,0.9241,1.0911,0.9906133768352365,41.9,True
OXT,Endometrial_GCST006464,Wald ratio,1,0.0088,0.0289,0.76,1.0089,0.9533,1.0678,0.9784065040650407,132.5,True
BPIFB2,Endometrial_GCST006464,Wald ratio,1,-0.0055,0.0478,0.908,0.9945,0.9055,1.0922,0.9906133768352365,42.5,True
ADA,Endometrial_GCST006464,Inverse variance weighted,2,0.0055,0.024,0.819,1.0055,0.9593,1.0539,0.9852558139534884,57.3,True
CHGB,Endometrial_GCST006464,Wald ratio,1,0.0005,0.0266,0.986,1.0005,0.9496,1.0541,0.9906133768352365,126.0,True
IFNGR2,Endometrial_GCST006464,Inverse variance weighted,2,0.0022,0.012,0.854,1.0022,0.9789,1.0261,0.9906133768352365,574.4,True
DSCAM,Endometrial_GCST006464,Wald ratio,1,0.0111,0.0438,0.8,1.0111,0.928,1.1018,0.9794761904761905,65.9,True
GSTT2B,Endometrial_GCST006464,Inverse variance weighted,3,-0.0035,0.0111,0.753,0.9965,0.9751,1.0184,0.9784065040650407,336.6,True
TCN2,Endometrial_GCST006464,Wald ratio,1,0.0074,0.0259,0.774,1.0075,0.9575,1.06,0.9784065040650407,147.5,True
TNFRSF13C,Endometrial_GCST006464,Wald ratio,1,0.0063,0.0286,0.825,1.0063,0.9514,1.0644,0.9852558139534884,97.3,True
CRELD2,Endometrial_GCST006464,Wald ratio,1,-0.0025,0.0287,0.93,0.9975,0.9429,1.0552,0.9906133768352365,78.3,True
PLXNB2,Endometrial_GCST006464,Inverse variance weighted,2,0.0022,0.0179,0.903,1.0022,0.9676,1.038,0.9906133768352365,196.2,True
TYMP,Endometrial_GCST006464,Wald ratio,1,-0.0111,0.034,0.744,0.989,0.9252,1.0571,0.9784065040650407,68.0,True
IL1RL2,Endometrial_GCST006464,Inverse variance weighted,2,0.004,0.0234,0.863,1.004,0.959,1.0512,0.9906133768352365,77.0,True
EDAR,Endometrial_GCST006464,Wald ratio,1,-0.009,0.0437,0.836,0.991,0.9097,1.0796,0.9877900763358778,43.3,True
GALNT5,Endometrial_GCST006464,MR Egger,3,-0.0042,0.1274,0.979,0.9958,0.7757,1.2783,,37.3,False
